"Rank","WSID","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"278","","J.J. Nelson","ARI","WR95","9","163","302","230.3","33.3","353.0","+75.0"
"279","","Elijah McGuire","NYJ","RB82","11","162","411","237.7","44.9","317.0","+38.0"
"280","","C.J. Prosise","SEA","RB83","7","169","329","237.0","37.9","294.0","+14.0"
"281","","Kenny Britt","FA","WR96","","138","310","228.1","45.8","",""
"282","","Jeremy Maclin","FA","WR97","","127","338","227.2","56.2","336.0","+54.0"
"283","","Baker Mayfield","CLE","QB33","11","140","321","240.8","39.3","211.0","-72.0"
"284","","Cordarrelle Patterson","NE","WR98","11","147","341","242.3","51.3","319.0","+35.0"
"285","","Kevin White","CHI","WR99","5","160","356","246.8","50.7","285.0","0.0"
"286","","Josh Lambo","JAC","K19","9","159","377","246.8","47.5","221.0","-65.0"
"287","","Tavon Austin","DAL","WR100","8","112","323","240.3","38.5","280.0","-7.0"
"288","","Zay Jones","BUF","WR101","11","161","289","240.2","27.7","229.0","-59.0"
"289","","Trent Taylor","SF","WR102","11","172","289","233.8","31.0","325.0","+36.0"
"290","","Ka'imi Fairbairn","HOU","K20","10","162","392","248.7","51.6","259.0","-31.0"
"291","","Mack Hollins","PHI","WR103","9","142","369","252.5","60.2","",""
"292","","Chester Rogers","IND","WR104","9","152","306","246.8","31.4","",""
"293","","Tyler Boyd","CIN","WR105","9","180","315","234.0","35.0","372.0","+79.0"
"294","","Cleveland (CLE)","","DST23","11","174","379","269.0","56.7","250.0","-44.0"
"295","","Nick Vannett","SEA","TE31","7","172","336","242.7","47.4","351.0","+56.0"
"296","","San Francisco (SF)","","DST24","11","154","361","277.8","52.4","297.0","+1.0"
"297","","Taylor Gabriel","CHI","WR106","5","174","295","238.4","28.1","359.0","+62.0"
"298","","Antonio Gates","FA","TE32","","170","332","239.9","42.9","293.0","-5.0"
"299","","Adam Shaheen","CHI","TE33","5","153","306","242.8","41.6","330.0","+31.0"
"300","","Lamar Jackson","BAL","QB34","10","168","323","247.1","40.8","227.0","-73.0"
"301","","Tampa Bay (TB)","","DST25","5","175","376","265.0","51.0","335.0","+34.0"
"302","","Robert Turbin","IND ","RB84","9","164","374","277.4","46.6","",""
"303","","C.J. Fiedorowicz","FA","TE34","","151","213","187.7","26.5","",""
"304","","Josh Rosen","ARI","QB35","9","165","294","245.3","34.8","266.0","-38.0"
"305","","J'Mon Moore","GB","WR107","7","152","333","259.7","58.9","324.0","+19.0"
"306","","Josh Hill","NO","TE35","6","154","319","252.9","51.0","",""
"307","","Teddy Bridgewater","NYJ","QB36","11","169","403","271.1","68.6","334.0","+27.0"
"308","","Gerald Everett","LAR","TE36","12","165","350","244.8","34.4","337.0","+29.0"
"309","","Tajae Sharpe","TEN","WR108","8","155","382","272.0","92.8","",""
"310","","Blair Walsh","FA","K21","","173","299","245.7","35.8","",""
"311","","D.J. Chark","JAC","WR109","9","176","322","258.0","43.4","321.0","+10.0"
"312","","Ryan Fitzpatrick","TB","QB37","5","169","309","246.9","42.4","303.0","-9.0"
"313","","Charles Sims","TB","RB85","5","159","313","267.0","40.7","271.0","-42.0"
